
# Surface 0 of 1 surfaces

# Curve title: ""1360-HW8_contourtmp0.dat""

# Contour 0, label:        2
-8.5e-06 -2  2 

 1.99998 -1.63159  2 
 1.96841 -1.66667  2 
 1.83332 -1.80248  2 
 1.79225 -1.83333  2 
 1.66665 -1.91949  2 
 1.50001 -2  2 

 1.50006  1.99998  2 
 1.66665  1.9195  2 
 1.79228  1.83332  2 
 1.83332  1.80248  2 
 1.96844  1.66665  2 
 1.99998  1.6316  2 


# Contour 1, label:        0
-1.42702  1.99998  0 
-1.33378  1.83332  0 
-1.33334  1.83245  0 
-1.23025  1.66665  0 
-1.16667  1.55361  0 
-1.12909  1.49998  0 
-1.02458  1.33332  0 
-1  1.2889  0 
-0.913147  1.16665  0 
-0.833338  1.03705  0 
-0.802806  0.999987  0 
-0.686612  0.833321  0 
-0.666672  0.798364  0 
-0.559993  0.666655  0 
-0.500006  0.571435  0 
-0.429679  0.499989  0 
-0.333341  0.362969  0 
-0.294104  0.333323  0 
-0.166675  0.172842  0 
-0.149978  0.166657  0 
-8.5e-06 -8.5e-06  0 
 0.166657  0.14814  0 
 0.17499  0.166657  0 
 0.333323  0.283942  0 
 0.384599  0.333323  0 
 0.499989  0.399996  0 
 0.666655  0.496293  0 
 0.674971  0.499989  0 
 0.833321  0.55026  0 
 0.999987  0.57143  0 
 1.16665  0.544966  0 
 1.25001  0.499989  0 
 1.33332  0.437051  0 
 1.40626  0.333323  0 
 1.47658  0.166657  0 
 1.49998  0.000231528  0 
 1.50001 -8.5e-06  0 
 1.49998 -0.00024848  0 
 1.47658 -0.166675  0 
 1.40625 -0.333341  0 
 1.33332 -0.437049  0 
 1.24998 -0.500006  0 
 1.16665 -0.544966  0 
 0.999987 -0.57143  0 
 0.833321 -0.55026  0 
 0.67502 -0.500006  0 
 0.666655 -0.496289  0 
 0.499989 -0.399996  0 
 0.384624 -0.33334  0 
 0.333323 -0.283939  0 
 0.175004 -0.166675  0 
 0.166657 -0.148128  0 
-8.5e-06 -8.5e-06  0 
-0.150007 -0.166675  0 
-0.166675 -0.172848  0 
-0.294124 -0.33334  0 
-0.33334 -0.362971  0 
-0.429695 -0.500006  0 
-0.500006 -0.571435  0 
-0.560006 -0.666672  0 
-0.666672 -0.798361  0 
-0.686624 -0.833338  0 
-0.802817 -1  0 
-0.833338 -1.03705  0 
-0.913164 -1.16667  0 
-1 -1.28889  0 
-1.0246 -1.33334  0 
-1.1291 -1.5  0 
-1.16667 -1.5536  0 
-1.23027 -1.66667  0 
-1.33334 -1.83245  0 
-1.33379 -1.83333  0 
-1.42703 -2  0 


# Contour 2, label:       -2
-1.88079  1.99998 -2 
-1.83333  1.86151 -2 
-1.82211  1.83332 -2 
-1.76153  1.66665 -2 
-1.70673  1.49998 -2 
-1.66667  1.36385 -2 
-1.6561  1.33332 -2 
-1.6052  1.16665 -2 
-1.56108  0.999987 -2 
-1.52375  0.833321 -2 
-1.5  0.703704 -2 
-1.49189  0.666655 -2 
-1.46351  0.499989 -2 
-1.44324  0.333323 -2 
-1.43108  0.166657 -2 
-1.42703 -8.5e-06 -2 
-1.43108 -0.166675 -2 
-1.44325 -0.333341 -2 
-1.46352 -0.500006 -2 
-1.4919 -0.666672 -2 
-1.5 -0.703704 -2 
-1.52376 -0.833338 -2 
-1.56109 -1 -2 
-1.60521 -1.16667 -2 
-1.65611 -1.33334 -2 
-1.66667 -1.36384 -2 
-1.70673 -1.5 -2 
-1.76154 -1.66667 -2 
-1.82212 -1.83333 -2 
-1.83333 -1.86151 -2 
-1.8808 -2 -2 


# Contour 3, label:       -4
-2  1.15385 -4 
-1.9702  0.999987 -4 
-1.94288  0.833321 -4 
-1.92053  0.666655 -4 
-1.90315  0.499989 -4 
-1.89073  0.333323 -4 
-1.88328  0.166657 -4 
-1.8808 -8.5e-06 -4 
-1.88328 -0.166675 -4 
-1.89073 -0.33334 -4 
-1.90315 -0.500006 -4 
-1.92053 -0.666672 -4 
-1.94288 -0.833338 -4 
-1.9702 -1 -4 
-2 -1.15384 -4 

